trip_uid,trip_id,route_id,direction_id,start_time,vehicle_id,last_observed,marked_past,num_updates,num_schedule_changes,num_schedule_rewrites
1732913910_N..S34R,125850_N..S34R,N,1,1732913910,1N 2058+ DIT/STL,1732936446,1732936461,956,0,0
1732913940_2..N01R,125900_2..N01R,2,0,1732913940,02 2059  FLA/241,1732937824,1732937831,1048,0,0
1732913940_N..N72R,125900_N..N72R,W,0,1732913940,1W 2059 WHL/DIT,1732934465,1732934479,818,0,0
1732913940_R..S71R,125900_R..S71R,R,1,1732913940,1R 2059 CTL/95S,1732937271,1732937286,1008,0,0
1732914000_3..S01R,126000_3..S01R,3,1,1732914000,03 2100  148/NLT,1732935994,1732935999,804,0,0
1732914000_7..S,126000_7..S,7,1,1732914000,07 2100 MST/34H,1732932292,1732932304,316,0,0
1732914000_A..N55R,126000_A..N55R,A,0,1732914000,1A 2100 FAR/207,1732937844,1732937859,629,0,0
1732914000_GS.N01R,126000_GS.N01R,GS,0,1732914000,0S 2100  GCS/TSS,1732932079,1732932082,281,0,0
1732914000_L..N,126000_L..N,L,0,1732914000,0L 2100 RPY/8AV,1732934101,1732934111,519,0,0
1732914030_1..S03R,126050_1..S03R,1,1,1732914030,01 2100+ 242/SFT,1732935339,1732935349,716,0,0
1732914030_7..N,126050_7..N,7,0,1732914030,07 2100+ 34H/MST,1732932817,1732932829,386,0,0
1732914030_D..S07R,126050_D..S07R,D,1,1732914030,1D 2100+ BPK/STL,1732937478,1732937487,753,0,0
1732914030_F..N07R,126050_F..N07R,F,0,1732914030,1F 2100+ STL/179,1732938373,1732938379,1324,0,0
1732914030_H..S21R,126050_H..S21R,H,1,1732914030,1H 2100+ BCR/RPK,1732933324,1732933339,326,0,0
1732914060_4..N06R,126100_4..N06R,4,0,1732914060,04 2101  UTI/WDL,1732936074,1732936084,815,0,0
1732914060_6..N01R,126100_6..N01R,6,0,1732914060,06 2101  BBR/PEL,1732935904,1732935909,792,0,0
1732914060_D..S07R,126100_D..S07R,D,1,1732914060,1D 2101 205/STL,1732931586,1732931597,417,1,0
1732914060_E..S69R,126100_E..S69R,E,1,1732914060,1E 2101 P-A/WTC,1732934811,1732934826,423,0,0
1732914060_G..N14R,126100_G..N14R,G,0,1732914060,1G 2101 CHU/CRS,1732934288,1732934300,777,0,0
1732914060_J..N41R,126100_J..N41R,J,0,1732914060,1J 2101 BRD/P-A,1732935007,1732935022,767,0,0
1732914060_N..N31R,126100_N..N31R,N,0,1732914060,1N 2101 STL/DIT,1732938443,1732938456,1125,0,0
1732914060_SI.N03R,126100_SI.N03R,SI,0,1732914060,1SI 2101 TNV/STG,1732934691,1732934704,711,0,0
1732914120_1..N03R,126200_1..N03R,1,0,1732914120,01 2102  SFT/242,1732935429,1732935439,728,0,0
1732914120_5..S08R,126200_5..S08R,5,1,1732914120,05 2102  DYR/BWG,1732935474,1732935484,734,0,0
1732914120_G..S14R,126200_G..S14R,G,1,1732914120,1G 2102 CRS/CHU,1732934573,1732934586,807,0,0
1732914120_Q..S36R,126200_Q..S36R,Q,1,1732914120,1Q 2102 962/STL,1732936416,1732936431,926,0,0
1732914150_L..S,126250_L..S,L,1,1732914150,0L 2102+8AV/RPY,1732934281,1732934291,525,0,0
1732914180_3..N01R,126300_3..N01R,3,0,1732914180,03 2103  NLT/148,1732936074,1732936084,775,0,0
1732914210_F..S69R,126350_F..S69R,F,1,1732914210,1F 2103+ 179/STL,1732938057,1732938063,1258,0,0
1732914210_GS.S01R,126350_GS.S01R,GS,1,1732914210,0S 2103+ TSS/GCS,1732932262,1732932274,266,0,0
1732914210_Q..N36R,126350_Q..N36R,Q,0,1732914210,1Q 2103+ STL/962,1732937437,1732937452,981,0,0
1732914240_2..N01R,126400_2..N01R,2,0,1732914240,02 2104  FLA/241,1732937944,1732937951,1024,0,0
1732914240_6..S01R,126400_6..S01R,6,1,1732914240,06 2104  PEL/BBR,1732936119,1732936129,781,0,0
1732914240_7X..N,126400_7X..N,7X,0,1732914240,07 2104 34H/MST,1732933794,1732933804,482,0,0
1732914240_L..N,126400_L..N,L,0,1732914240,0L 2104 RPY/8AV,1732934221,1732934231,505,0,0
1732914270_C..N04R,126450_C..N04R,C,0,1732914270,1C 2104+ EUC/168,1732936207,1732936222,502,0,0
1732914270_E..N72R,126450_E..N72R,E,0,1732914270,1E 2104+ WTC/P-A,1732935066,1732935081,426,0,0
1732914300_7..S,126500_7..S,7,1,1732914300,07 2105 MST/34H,1732934499,1732934509,573,0,0
1732914300_GS.N04R,126500_GS.N04R,GS,0,1732914300,0S 2105  GCS/TSS,1732932352,1732932364,278,0,0
